სცხელა	სცხელოდა	V;ARGSU3S;IPFV;MID;IND;IPFV
არის	ხარ	V;ARGSU2S;PRS;IND
არის	იქნება	V;ARGSU3S;FUT;IND
არის	იყო	V;ARGSU3S;PST;IND
არმია	არმიის	N;GEN;INAN;SG
არსება	არსებებს	N;DAT;PL;ANIM
არსებობა	არსებობა	N;NOM;INAN;SG
არსებული	არსებული	ADJ;NOM;SG
არსებული	არსებულ	ADJ;DAT;SG
არჩევს	გამოარჩევდა	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
ასაგდები	ასაგდებად	ADV
ასაშენებელი	ასაშენებლად	ADJ;FRML;SG
ასე	ასე	ADV
ასევე	ასევე	ADV
ასიამოვნებს	ასიამოვნებს	V;ARGOB3;ARGSU3S;FUT;ACT;IND;IPFV
ასრულებს	ასრულებს	V;ARGIO3;ARGSU3S;ACT;PRS;IND;IPFV
ასრულებს	აღასრულებს	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
ასწორებს	ასწორებს	V;ARGIO3;ARGSU3S;ACT;PRS;IND;IPFV
ატირებს	წავიტირებ	V;ARGOB3;ARGSU1S;FUT;ACT;PFV;IND
აუცილებელი	აუცილებელი	ADJ;NOM;SG
აფარებს	აფარებს	V;ARGIO3;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
აფართხალდება	აფართხალდა	V;ARGSU3S;PST;ACT;PFV;IND
აფასებს	აფასებს	V;ARGIO3;ARGSU3S;ACT;PRS;IND;IPFV
აფერმკრთალებს	გააფერმკრთალა	V;ARGOB3;ARGSU3S;PST;ACT;PFV;IND
აფიქრებინებს	გვაფიქრებინებს	V;ARGIO1P;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
აქ	აქ	ADV
აქედან	აქედან	ADV
აქვს	მაქვს	V;ARGOB3;ARGSU1S;PRS;IND
აქვს	ჰქონდა	V;ARGOB3;ARGSU3S;IPFV;IND
აქვს	აქვს	V;ARGOB3;ARGSU3S;PRS;IND
აქვს	გაქვს	V;ARGOB3;ARGSU2S;PRS;IND
აქვს	გვქონდა	V;ARGOB3;ARGSU1P;IPFV;IND
აქტი	აქტებს	N;DAT;PL;INAN
აღიარებული	აღიარებული	ADJ;NOM;SG
აღნიშნავს	აღნიშნავდნენ	V;ARGOB3;ARGSU3P;IPFV;ACT;IND;IPFV
აღნიშნული	აღნიშნული	ADJ;GEN;SG
აღსავსე	აღსავსე	ADJ;NOM;SG
აღსანიშნავი	აღსანიშნავი	ADJ;NOM;SG
აღტაცება	აღტაცებით	N;INS;INAN;SG
აღძრული	აღძრული	ADJ;NOM;SG
აღჭურვილი	აღჭურვილი	ADJ;NOM;SG
აყენებს	იყენებენ	V;ARGOB3;ARGSU3P;ACT;PRS;IND;IPFV
აყენებს	გამოვიყენოთ	V;ARGOB3;ARGSU1P;PST;ACT;PFV;IND
აყვედრის	აყვედრიან	V;ARGOB3;ARGSU3P;ACT;PRS;IND;IPFV
აშკარა	აშკარა	ADJ;GEN;SG
აშურებს	მივაშურეთ	V;ARGSU1P;PST;ACT;PFV;IND
აცივდება	აცივდება	V;ARGSU3S;ACT;PRS;IND;IPFV
აცხადებს	გამოუცხადეს	V;ARGIO3;ARGOB3;ARGSU3P;PST;ACT;PFV;IND
აძლევს	აძლევდა	V;ARGOB3;ARGSU3S;ACT;IPFV;IND;IPFV
აძნელებს	გააძნელა	V;ARGOB3;ARGSU3S;PST;ACT;PFV;IND
ახალგაზრდა	ახალგაზრდა	ADJ;NOM;SG
ახალგაზრდა	ახალგაზრდებით	ADJ;INS;PL
ახალი	ახალი	ADJ;GEN;SG
ახალი	ახალ	ADJ;DAT;SG
ახალი	ახლად	ADJ;FRML;SG
ახვლედიანი	ახვლედიანის	PRO;SG;GEN;PN
ახლა	ახლა	ADV
ახლებური	ახლებურად	ADV
ახლოს	ახლოს	ADV
ახსენებს	ვახსენე	V;ARGIO3;ARGOB3;ARGSU1S;PST;ACT;IND;IPFV
ახსენებს	მოვახსენე	V;ARGIO3;ARGOB3;ARGSU1S;PST;ACT;PFV;IND
ახსოვს	ახსოვდა	V;ARGOB3;ARGSU3S;IPFV;MID;IND;IPFV
ბავშვი	ბავშვები	N;NOM;PL;ANIM
ბაზა	ბაზის	N;GEN;INAN;SG
ბაზარი	ბაზრის	N;GEN;INAN;SG
ბათუმი	ბათუმი	N;SG;OM;PROPN
ბათუმი	ბათუმის	PRO;SG;GEN;PN
ბალანსი	ბალანსის	N;GEN;INAN;SG
ბარგი	ბარგით	N;INS;INAN;SG
ბაქო-ბათუმი	ბაქო-ბათუმის	PRO;SG;GEN;PN
ბაღი	ბაღი	N;NOM;INAN;SG
ბგერა	ბგერები	N;PL;OM;INAN;N
ბექიშვილი	ბექიშვილს	PRO;DAT;SG;PN
ბეჭი	ბეჭ	N;DAT;INAN;SG
ბიუჯეტი	ბიუჯეტთა	N;DAT;PL;INAN
ბოთლი	ბოთლ	N;NOM;INAN;SG
ბოლო	ბოლო	ADJ;FRML;SG
ბოლოს	ბოლოს	ADV
ბოტანიკური	ბოტანიკური	ADJ;NOM;SG
ბრალდება	ბრალდებებს	N;DAT;PL;INAN
ბრალდება	ბრალდებებ	N;DAT;PL;INAN
ბრალდებული	ბრალდებულთა	N;PL;GEN;INAN
ბრძოლა	ბრძოლა	N;NOM;INAN;SG
ბრძოლა	ბრძოლის	N;GEN;INAN;SG
ბუნებრივი	ბუნებრივი	ADJ;NOM;SG
გადამწყვეტი	გადამწყვეტი	ADJ;NOM;SG
გადარჩენა	გადარჩენა	N;DAT;INAN;SG
გადასაწყვეტი	გადასაწყვეტი	V;NOM;PRS;V.PTCP;IND;SG
გადაუმოწმებელი	გადაუმოწმებელ	ADJ;DAT;SG
გადაქაჩვა	გადაქაჩვა	V;NOM;V.MSDR;PFV;SG
გადაწყვეტა	გადაწყვეტის	N;GEN;INAN;SG
გადგმული	გადგმული	ADJ;NOM;SG
გადის	გადის	V;ARGSU3S;PRS;IND
გავლენა	გავლენას	N;DAT;INAN;SG
გავრცელება	გავრცელებაც	N;NOM;INAN;SG
გათიშვა	გათიშვას	N;DAT;INAN;SG
გაივლის	გაუვლიდა	V;ARGOB3;ARGSU3S;FUT;IND
გამთბარი	გამთბარ	ADJ;DAT;SG
გამო	გამო	ADP;GEN
გამო	გამოც	ADP;GEN
გამომდინარე	გამომდინარე	ADJ;NOM;SG
გამომცემელი	გამომცემელი	N;NOM;ANIM;SG
გამოცდილება	გამოცდილება	N;NOM;INAN;SG
გამოცემა	გამოცემებ	N;DAT;PL;INAN
გამოცემული	გამოცემული	ADJ;GEN;SG
გამოცვლა	გამოცვლა	N;DAT;INAN;SG
გამოწერილი	გამოწერილი	ADJ;NOM;SG
გამოწვეული	გამოწვეული	ADJ;NOM;SG
გამტარიანობა	გამტარიანობის	N;GEN;INAN;SG
გამჭვირვალობა	გამჭვირვალობის	N;GEN;INAN;SG
გან	გან	ADP;GEN
განაგრძობს	განაგრძობენ	V;ARGOB3;ARGSU3P;FUT;ACT;PFV;IND
განვითარება	განვითარება	N;NOM;INAN;SG
განვითარება	განვითარების	N;GEN;INAN;SG
განმავითარებელი	განმავითარებელი	ADJ;NOM;SG
განმავლობა	განმავლობა	N;DAT;INAN;SG
განსაკუთრებული	განსაკუთრებული	ADJ;INS;SG
განსხეულება	განსხეულებას	N;DAT;INAN;SG
განსხვავება	განსხვავება	N;NOM;INAN;SG
განსხვავებული	განსხვავებულ	ADJ;DAT;SG
განცდილი	განცდილსა	ADJ;DAT;SG
განხორციელება	განხორციელებისას	N;DAT;INAN;SG
გარდა	გარდა	ADP;GEN
გარეგანი	გარეგანი	ADJ;NOM;SG
გარეთ	გარეთ	ADV
გარეშე	გარეშე	ADV
გარშემო	გარშემო	ADV
გარშემორტყმული	გარშემორტყმულ	ADJ;DAT;SG
გასათელი	გასათელად	ADV
გასაუბრალოებელი	გასაუბრალოებლად	ADV
გატარება	გატარებას	N;DAT;INAN;SG
გაუმჯობესება	გაუმჯობესების	N;GEN;INAN;SG
გაურკვევლობა	გაურკვევლობის	N;GEN;INAN;SG
გაცნობა	გაცნობა	N;NOM;INAN;SG
გებულობს	შემოგვაგებეს	V;ARGIO1P;ARGOB3;ARGSU3P;PST;ACT;PFV;IND
გეგმიანი	გეგმიანი	ADJ;GEN;SG
გერმანული	გერმანული	ADJ;GEN;SG
გვერდი	გვერდ	N;DAT;INAN;SG
გზა	გზებით	N;INS;PL;INAN
გზა	გზა	N;DAT;INAN;SG
გლეხი	გლეხები	N;NOM;PL;ANIM
გლეხი	გლეხის	N;GEN;ANIM;SG
გოგონი	გოგონები	N;NOM;PL;ANIM
გრამატიკული	გრამატიკული	ADJ;GEN;SG
გრგვინვა	გრგვინვა	N;NOM;INAN;SG
გრიალდება	შემოგრიალდა	V;ARGSU3S;PST;ACT;PFV;IND
გრიგოლ	გრიგოლ	N;SG;OM;PROPN
გრძნობა	გრძნობები	N;PL;OM;INAN;N
გრძნობს	ვგრძნობდით	V;ARGOB3;ARGSU1P;IPFV;ACT;IND;IPFV
გული	გულ	N;DAT;INAN;SG
გულისთქმა	გულისთქმა	N;NOM;INAN;SG
გულისხმობს	გულისხმობს	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
გულმოდგინე	გულმოდგინედ	ADV
გუნდურობა	გუნდურობა	N;PL;OM;INAN;N
და	და	CONJ
დაავადება	დაავადებად	N;FRML;INAN;SG
დაავადება	დაავადების	N;GEN;INAN;SG
დაბადება	დაბადება	N;NOM;INAN;SG
დაბრუნება	დაბრუნების	N;GEN;INAN;SG
დაგეგმვა	დაგეგმვისა	N;GEN;INAN;SG
დადგენილი	დადგენილ	ADJ;DAT;SG
დადგენილი	დადგენილი	ADJ;GEN;SG
დადებითი	დადებითი	ADJ;NOM;SG
დადის	დადის	V;ARGSU3S;PRS;IND
დავითი	დავითი	N;SG;OM;PROPN
დაზუსტება	დაზუსტება	N;NOM;INAN;SG
დაინტერესებული	დაინტერესებული	ADJ;NOM;SG
დაკავშირებული	დაკავშირებულმა	ADJ;ERG;SG
დაკვირვება	დაკვირვების	N;GEN;INAN;SG
დამამკვიდრებელი	დამამკვიდრებლებმა	N;PL;ERG;ANIM
დამახასიათებელი	დამახასიათებელ	ADJ;DAT;SG
დამკვიდრება	დამკვიდრებისა	N;GEN;INAN;SG
დამოკიდებულება	დამოკიდებულებებ	N;DAT;PL;INAN
დამოკიდებული	დამოკიდებული	ADJ;NOM;SG
დამოუკიდებელი	დამოუკიდებელი	ADJ;NOM;SG
დამოუკიდებელი	დამოუკიდებელ	ADJ;DAT;SG
დამსახურება	დამსახურება	N;NOM;INAN;SG
დამტკიცება	დამტკიცების	N;GEN;INAN;SG
დამფრთხალი	დამფრთხალი	ADJ;NOM;SG
დამცავი	დამცავი	ADJ;INS;SG
დამცველი	დამცველი	N;NOM;ANIM;SG
დან	დან	INS;ADP
დაპირებული	დაპირებულს	ADJ;DAT;SG
დარბაზი	დარბაზის	N;GEN;INAN;SG
დარბაისლური	დარბაისლურად	ADV
დარგი	დარგები	N;PL;OM;INAN;N
დარწმუნებული	დარწმუნებული	ADJ;NOM;SG
დასაბუთებული	დასაბუთებული	ADJ;GEN;SG
დასავლეთი	დასავლეთ	ADJ;DAT;SG
დასაცავი	დასაცავად	ADV
დატვირთვა-გადმოტვირთვა	დატვირთვა-გადმოტვირთვის	N;GEN;INAN;SG
დატვირთული	დატვირთულ	ADJ;GEN;SG
დაუზუსტებელი	დაუზუსტებელი	V;V;GEN;.PTCP;SG
დაუნდობელი	დაუნდობელი	ADJ;NOM;SG
დაუსჯელი	დაუსჯელად	ADV
დაუყოვნებლივ	დაუყოვნებლივ	ADV
დაყენება	დაყენება	N;DAT;INAN;SG
დაყოფა	დაყოფას	N;DAT;INAN;SG
დაშტამპული	დაშტამპულ	ADJ;DAT;SG
დაცვა	დაცვა	N;NOM;INAN;SG
დაცვა	დაცვას	N;DAT;INAN;SG
დაძაბულობა	დაძაბულობას	N;DAT;INAN;SG
დაძაბულობა	დაძაბულობის	N;GEN;INAN;SG
დაწესებულება	დაწესებულების	N;GEN;INAN;SG
დაჭრილი	დაჭრილი	ADJ;NOM;SG
დახარჯვა	დახარჯვის	V;V;.MSDR;PFV;GEN;SG
დახატული	დახატული	ADJ;NOM;SG
დახმარება	დახმარებით	N;INS;INAN;SG
დახმარება	დახმარების	N;GEN;INAN;SG
დგას	იდგა	V;ARGSU3S;PST;ACT;IND;IPFV
დგას	დადგა	V;ARGSU3S;PST;ACT;PFV;IND
დგება	შეუდგნენ	V;ARGIO3;ARGSU3P;PST;ACT;PFV;IND
დემოგრაფიული	დემოგრაფიული	ADJ;NOM;SG
დემოკრატიული	დემოკრატიული	ADJ;GEN;SG
დიდი	დიდი	ADJ;INS;SG
დიდი	დიდად	ADV
დიდი	უდიდესი	N;RL;OM;ADJ;SG
დიდი	დიდ	ADJ;DAT;SG
დილა	დილას	ADV
დისციპლინა	დისციპლინების	N;PL;GEN;INAN
დნება	დნება	V;ARGSU3S;ACT;PRS;IND;IPFV
დონე	დონისა	N;GEN;INAN;SG
დოქი	დოქი	N;NOM;INAN;SG
დრო	დროსაც	N;DAT;INAN;SG
დრო	დროს	N;DAT;INAN;SG
დრტვინვა	დრტვინვას	N;DAT;INAN;SG
დღე	დღეს	N;DAT;INAN;SG
დღე	დღი	N;INS;INAN;SG
დღევანდელი	დღევანდელი	ADJ;GEN;SG
დღეიდან	დღეიდან	ADV
დღეს	დღესაც	ADV
ეალერსება	ეალერსებოდა	V;ARGIO3;ARGSU3S;ACT;IPFV;IND;IPFV
ედება	გამოედო	V;ARGIO3;ARGSU2S;PST;PASS;PFV;IND
ევროპა	ევროპა	PRO;DAT;SG;PN
ეზო	ეზო	N;DAT;INAN;SG
ეთხოვება	მითხოვია	V;ARGOB3S;ARGSU3;ACT;PFV;IND
ეკითხება	მეკითხება	V;ARGIO1S;ARGSU3S;ACT;PRS;IND;IPFV
ეკლესია	ეკლესიის	N;GEN;INAN;SG
ეკონომიკა	ეკონომიკას	N;DAT;INAN;SG
ემადლება	უმადლოდეს	V;ARGIO3;ARGSU3S;ACT;PRS;IND;IPFV
ემატება	აღემატება	V;ARGIO3;ARGSU3S;FUT;ACT;PFV;IND
ემგზავრება	გავემგზავრეთ	V;ARGIO3;ARGSU1P;PST;ACT;PFV;IND
ემზადება	ემზადებიან	V;ARGIO3;ARGSU3P;ACT;PRS;IND;IPFV
ენა	ენა	N;NOM;INAN;SG
ენა	ენით	N;INS;INAN;SG
ენა	ენის	N;GEN;INAN;SG
ენა	ენებ	N;DAT;PL;INAN
ენა	ენების	N;PL;GEN;INAN
ენერგია	ენერგია	N;NOM;INAN;SG
ეპიგონობა	ეპიგონობას	N;DAT;INAN;SG
ეპოქა	ეპოქას	N;DAT;INAN;SG
ერთად	ერთად	ADV
ერთერთი	ერთერთი	N;PRO;OM;SG
ერთ-ერთი	ერთ-ერთი	N;PRO;OM;SG
ერთი	ერთი	N;NOM;UM;SG
ერთი	ერთ	N;DAT;UM;SG
ერთი	პირველივე	N;NOM;UM;SG
ერთმანეთი	ერთმანეთს	PRO;DAT;SG
ერთობლიობა	ერთობლიობა	N;NOM;INAN;SG
ერთხელ	ერთხელ	ADV
ერი	ერს	N;DAT;ANIM;SG
ერი	ერის	N;GEN;ANIM;SG
ეროვნულ-გამათავისუფლებელი	ეროვნულ-გამათავისუფლებელი	ADJ;NOM;SG
ეროვნულ-გამათავისუფლებელი	ეროვნულ-გამათავისუფლებელ	ADJ;DAT;SG
ეროვნული	ეროვნულ	ADJ;DAT;SG
ეს	ამ	PRO;DAT;3;SG
ეს	ეს	PRO;NOM;3;SG
ეს(ე)	ამისა	PRO;3;GEN;SG
ეს(ე)	ამას	PRO;DAT;3;SG
ესკალაცია	ესკალაცია	N;NOM;INAN;SG
ესოდენ	ესოდენ	ADV
ეტანება	ეტანება	V;ARGIO3;ARGSU3S;PASS;PRS;IND;IPFV
ეუბნება	უთხრეს	V;ARGIO3;ARGOB3;ARGSU3P;PST;ACT;IND
ეუბნება	ეუბნება	V;ARGIO3;ARGOB3;ARGSU3S;ACT;PRS;IND
ეფექტიანი	ეფექტიანი	ADJ;GEN;SG
ექიმი	ექიმის	N;GEN;ANIM;SG
ექსპონირება	ექსპონირების	N;GEN;INAN;SG
ეყრდნობა	ეყრდნობოდნენ	V;ARGIO3;ARGSU3P;ACT;IPFV;IND;IPFV
ეჩქარება	მიეჩქარებოდათ	V;ARGOB3P;ARGSU3;IPFV;MID;IND;IPFV
ეცემა	ეცემა	V;ARGOB3;ARGSU3S;PRS;IND
ეძებს	ეძებენ	V;ARGOB3;ARGSU3P;ACT;PRS;IND;IPFV
ეწირება	ეწირება	V;ARGIO3;ARGSU3S;ACT;PRS;IND;IPFV
ეხება	ეხება	V;ARGIO3;ARGSU3S;ACT;PRS;IND;IPFV
ვ.	ვ.	N
ვაზი	ვაზს	N;DAT;INAN;SG
ვალიდური	ვალიდური	ADJ;NOM;SG
ვაჟა	ვაჟა	N;SG;OM;PROPN
ვაჭრობა	ვაჭრობის	N;GEN;INAN;SG
ველი	ველს	N;DAT;INAN;SG
ველი	ველის	N;GEN;INAN;SG
ვერც	ვერც	PART
ვეხი	ვეხის	PRO;SG;GEN;PN
ვით	ვით	NOM;ADP
ვინ	ვინმე	PRO;NOM;SG
ვინ	ვინც	PRO;NOM;SG
ვინ	ვის	PRO;GEN;SG
ზდოროვიე	ზდოროვიე	N;DAT;INAN;SG
ზე	ზე	DAT;ADP
ზე	ზეც	DAT;ADP
ზედაპირი	ზედაპირ	N;DAT;INAN;SG
ზედმეტი	ზედმეტად	ADV
ზევით	ზევით	ADV
ზემო	ზემოთ	ADJ;DAT;PL
ზემოთნახსენები	ზემოთნახსენებ	ADJ;DAT;SG
ზეპირი	ზეპირი	ADJ;NOM;SG
ზიდავს	გაზიდეს	V;ARGOB3;ARGSU3P;PST;ACT;PFV;IND
ზის	ისხდნენ	V;ARGSU3P;PST;ACT;IND
ზოგიერთი	ზოგიერთი	PRO;GEN;SG
ზოგჯერ	ზოგჯერ	ADV
ზონა	ზონებ	N;DAT;PL;INAN
ზრდა	ზრდა	N;NOM;INAN;SG
ზრდის	ზრდის	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
ზუსტად	ზუსტად	ADV
თ.	თ.	N
თავადი	თავად	ADJ;NOM;SG
თავდადებული	თავდადებული	ADJ;NOM;SG
თავდაცვა	თავდაცვისა	N;GEN;INAN;SG
თავდება	თავდებოდა	V;ARGSU3S;ACT;IPFV;IND;IPFV
თავზარდამცემი	თავზარდამცემი	ADJ;NOM;SG
თავი	თავს	PRO;DAT;SG
თავი	თავ	PRO;DAT;SG
თავი	თავი	N;PRO;OM;SG
თავისებურება	თავისებურება	N;NOM;INAN;SG
თავისებური	თავისებურ	ADJ;DAT;SG
თავისთავად	თავისთავად	ADV
თავისი	თავის	PRO;DAT;SG
თავისი	თავისი	N;PRO;OM;SG
თავისუფლება	თავისუფლება	N;DAT;INAN;SG
თავმოყრილი	თავმოყრილი	ADJ;NOM;SG
თავშესაფარი	თავშესაფარს	N;DAT;INAN;SG
თან	თან	DAT;ADP
თან	თანაც	DAT;ADP
თანამებრძოლი	თანამებრძოლებით	N;INS;PL;ANIM
თანამედროვე	თანამედროვე	ADJ;GEN;SG
თანამშრომლობა	თანამშრომლობის	N;GEN;INAN;SG
თანამშრომლობა	თანამშრომლობა	N;NOM;INAN;SG
თანდათან	თანდათან	ADV
თანდათანობა	თანდათანობით	N;INS;INAN;SG
თანხლებით	თანხლებით	ADV
თანხმდება	შეთანხმდნენ	V;ARGSU3P;PST;ACT;PFV;IND
თარგმანება	თარგმანების	N;GEN;INAN;SG
თაღი	თაღის	N;GEN;INAN;SG
თბილი	თბილ	ADJ;DAT;SG
თეთრი	თეთრი	ADJ;NOM;SG
თემატიკა	თემატიკა	N;DAT;INAN;SG
თეორიული	თეორიულ	ADJ;DAT;SG
თვალი	თვალ	N;DAT;INAN;SG
თვალი	თვალის	N;GEN;INAN;SG
თვალი	თვალს	N;DAT;INAN;SG
თვალი	თვალი	N;NOM;INAN;SG
თვალსაზრისი	თვალსაზრისით	N;INS;INAN;SG
თვალსაჩინო	თვალსაჩინო	ADJ;NOM;SG
თვის	თვის	ADP;GEN
თვლემს	თვლემდნენ	V;ARGSU3P;ACT;IPFV;IND;IPFV
თითქოს	თითქოს	ADV
თოვლი	თოვლი	N;NOM;INAN;SG
თომა	თომა	N;SG;OM;PROPN
თუ	თუ	CONJ
თუმცა	თუმცა	CONJ
თურმე	თურმე	PART
თქვამს	გამოთქვამდნენ	V;ARGOB3;ARGSU3P;FUT;ACT;PFV;IND
თქვენ	თქვენ	PRO;DAT;PL;2
თქმა	თქმა	N;NOM;INAN;SG
თქო	ო	NFH;PART
თხოვს	მოითხოვდა	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
თხოვს	მოითხოვს	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
თხოულობს	თხოულობს	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
ი/ეჩენილა	გაჩენილიყო	V;ARGSU3S;PST+PRF;PASS;PFV;IND
იბადება	დაიბადა	V;ARGSU3S;PST;PASS;PFV;IND
იბადება	იბადება	V;ARGSU3S;PASS;PRS;IND;IPFV
იგი	იგი	PRO;NOM;3;SG
იგი	მას	PRO;DAT;3;SG
იგი	მის	PRO;3;GEN;SG
იგი	მასაც	PRO;DAT;3;SG
იგი	მან	PRO;ERG;3;SG
იგი	იგივე	PRO;NOM;3;SG
იგინი	მათ	PRO;DAT;3;PL
ივსება	ავივსო	V;ARGSU1S;PST;PASS;PFV;IND
ითვლება	ითვლება	V;ARGSU3S;PASS;PRS;IND;IPFV
იკვეთება	იკვეთებოდა	V;ARGSU3S;IPFV;PASS;IND;IPFV
